"time_cutoff","Québec","Ontario","British Columbia"
40,2.18135152287088,2.09885298883169,1.93058347664406
50,1.9639982739383,1.95116117065413,1.8815497217022
60,1.79629584838358,1.8429029420178,1.77945070170726
