"","coeff","Mean_mtl","SE_mtl","Mean_trt","SE_trt","Mean_van","SE_van"
"1","intercept","4.08 (3.21, 5.22)","0.0029","4.32 (3.08, 6.09)","0.0042","4.38 (3.17, 6.19)","0.0042"
"2","Age 30-39","1.17 (0.9, 1.52)","0.0030","0.88 (0.61, 1.26)","0.0043","1.26 (0.88, 1.76)","0.0042"
"3","Age 40-49","0.83 (0.61, 1.13)","0.0033","0.82 (0.53, 1.25)","0.0049","1.05 (0.69, 1.57)","0.0046"
"4","Age 50-59","0.7 (0.51, 0.98)","0.0035","0.75 (0.41, 1.4)","0.0060","1.04 (0.68, 1.6)","0.0048"
"5","Age ≥60","0.72 (0.53, 0.98)","0.0032","0.4 (0.23, 0.72)","0.0057","1.05 (0.66, 1.65)","0.0051"
"6","Exclusive Relationship","0.43 (0.32, 0.58)","0.0022","0.47 (0.29, 0.78)","0.0038","0.23 (0.15, 0.33)","0.0033"
"7","Open Relationship","1.11 (0.91, 1.36)","0.0014","1.11 (0.82, 1.5)","0.0025","0.94 (0.73, 1.21)","0.0021"
"8","Unclear Relationship","0.69 (0.49, 0.99)","0.0024","0.43 (0.2, 0.97)","0.0060","0.88 (0.48, 1.67)","0.0047"
"9","HIV Status","0.9 (0.71, 1.16)","0.0019","1.21 (0.88, 1.65)","0.0024","0.83 (0.6, 1.17)","0.0031"
"10","Bathhouse","1.73 (1.39, 2.16)","0.0015","1.8 (1.32, 2.46)","0.0028","1.8 (1.35, 2.43)","0.0023"
"11","Bathhouse Missing","0.89 (0.39, 2.27)","0.0082","0.03 (0, 1.06)","0.034","0.39 (0, 307090.23)","0.15"
"12","Groupsex","3.64 (2.81, 4.72)","0.0019","3.43 (2.43, 4.83)","0.0032","3.06 (2.25, 4.16)","0.0026"
"13","Groupsex Missing","1.41 (0.43, 4.68)","0.011","1.35 (0.18, 23.07)","0.023","0.31 (0, 313871.83)","0.15"
"14","Transactional Sex","3.63 (2.31, 5.98)","0.0035","2.94 (1.79, 5.17)","0.0041","3.69 (1.89, 8.2)","0.0063"
"15","Transactional Sex Missing","0.6 (0.34, 1.17)","0.0048","2.05 (0.94, 5.03)","0.0066","1.4 (0.23, 19.53)","0.022"
"16","inverse_overdisp","2.4 (2.18, 2.66)","0.00070","3.08 (2.51, 3.88)","0.0016","2.87 (2.42, 3.46)","0.0015"
