city,beta,assort,r0
Montreal-Post-Restrictions,0,0,0
Montreal-Post-Restrictions,0.1,0,0.05205671270423525
Montreal-Post-Restrictions,0.2,0,0.1041134254084705
Montreal-Post-Restrictions,0.30000000000000004,0,0.15617013811270572
Montreal-Post-Restrictions,0.4,0,0.208226850816941
Montreal-Post-Restrictions,0.5,0,0.2602835635211762
Montreal-Post-Restrictions,0.6000000000000001,0,0.31234027622541144
Montreal-Post-Restrictions,0.7000000000000001,0,0.36439698892964656
Montreal-Post-Restrictions,0.8,0,0.416453701633882
Montreal-Post-Restrictions,0.9,0,0.4685104143381172
Montreal-Post-Restrictions,1,0,0.5205671270423524
Toronto-Post-Restrictions,0,0,0
Toronto-Post-Restrictions,0.1,0,0.07332653550295289
Toronto-Post-Restrictions,0.2,0,0.14665307100590577
Toronto-Post-Restrictions,0.30000000000000004,0,0.21997960650885864
Toronto-Post-Restrictions,0.4,0,0.29330614201181154
Toronto-Post-Restrictions,0.5,0,0.3666326775147646
Toronto-Post-Restrictions,0.6000000000000001,0,0.4399592130177173
Toronto-Post-Restrictions,0.7000000000000001,0,0.5132857485206703
Toronto-Post-Restrictions,0.8,0,0.5866122840236231
Toronto-Post-Restrictions,0.9,0,0.6599388195265758
Toronto-Post-Restrictions,1,0,0.7332653550295292
Vancouver-Post-Restrictions,0,0,0
Vancouver-Post-Restrictions,0.1,0,0.06364264080102179
Vancouver-Post-Restrictions,0.2,0,0.12728528160204358
Vancouver-Post-Restrictions,0.30000000000000004,0,0.19092792240306533
Vancouver-Post-Restrictions,0.4,0,0.25457056320408716
Vancouver-Post-Restrictions,0.5,0,0.3182132040051089
Vancouver-Post-Restrictions,0.6000000000000001,0,0.38185584480613066
Vancouver-Post-Restrictions,0.7000000000000001,0,0.44549848560715244
Vancouver-Post-Restrictions,0.8,0,0.5091411264081743
Vancouver-Post-Restrictions,0.9,0,0.572783767209196
Vancouver-Post-Restrictions,1,0,0.6364264080102178
Montreal-Post-Restrictions,0,0.4,0
Montreal-Post-Restrictions,0.1,0.4,0.1424117605254037
Montreal-Post-Restrictions,0.2,0.4,0.28482352105080744
Montreal-Post-Restrictions,0.30000000000000004,0.4,0.42723528157621155
Montreal-Post-Restrictions,0.4,0.4,0.5696470421016148
Montreal-Post-Restrictions,0.5,0.4,0.7120588026270183
Montreal-Post-Restrictions,0.6000000000000001,0.4,0.854470563152423
Montreal-Post-Restrictions,0.7000000000000001,0.4,0.9968823236778264
Montreal-Post-Restrictions,0.8,0.4,1.1392940842032298
Montreal-Post-Restrictions,0.9,0.4,1.281705844728633
Montreal-Post-Restrictions,1,0.4,1.4241176052540365
Toronto-Post-Restrictions,0,0.4,0
Toronto-Post-Restrictions,0.1,0.4,0.1507530504033667
Toronto-Post-Restrictions,0.2,0.4,0.30150610080673335
Toronto-Post-Restrictions,0.30000000000000004,0.4,0.45225915121010013
Toronto-Post-Restrictions,0.4,0.4,0.6030122016134668
Toronto-Post-Restrictions,0.5,0.4,0.7537652520168339
Toronto-Post-Restrictions,0.6000000000000001,0.4,0.9045183024202003
Toronto-Post-Restrictions,0.7000000000000001,0.4,1.055271352823568
Toronto-Post-Restrictions,0.8,0.4,1.2060244032269334
Toronto-Post-Restrictions,0.9,0.4,1.3567774536303001
Toronto-Post-Restrictions,1,0.4,1.5075305040336677
Vancouver-Post-Restrictions,0,0.4,0
Vancouver-Post-Restrictions,0.1,0.4,0.15650036460261812
Vancouver-Post-Restrictions,0.2,0.4,0.31300072920523625
Vancouver-Post-Restrictions,0.30000000000000004,0.4,0.46950109380785443
Vancouver-Post-Restrictions,0.4,0.4,0.6260014584104725
Vancouver-Post-Restrictions,0.5,0.4,0.7825018230130907
Vancouver-Post-Restrictions,0.6000000000000001,0.4,0.9390021876157089
Vancouver-Post-Restrictions,0.7000000000000001,0.4,1.095502552218326
Vancouver-Post-Restrictions,0.8,0.4,1.252002916820945
Vancouver-Post-Restrictions,0.9,0.4,1.408503281423563
Vancouver-Post-Restrictions,1,0.4,1.5650036460261814
Montreal-Post-Restrictions,0,0.8,0
Montreal-Post-Restrictions,0.1,0.8,0.25705848509778795
Montreal-Post-Restrictions,0.2,0.8,0.5141169701955759
Montreal-Post-Restrictions,0.30000000000000004,0.8,0.7711754552933634
Montreal-Post-Restrictions,0.4,0.8,1.0282339403911518
Montreal-Post-Restrictions,0.5,0.8,1.2852924254889393
Montreal-Post-Restrictions,0.6000000000000001,0.8,1.5423509105867268
Montreal-Post-Restrictions,0.7000000000000001,0.8,1.799409395684515
Montreal-Post-Restrictions,0.8,0.8,2.0564678807823036
Montreal-Post-Restrictions,0.9,0.8,2.313526365880089
Montreal-Post-Restrictions,1,0.8,2.5705848509778786
Toronto-Post-Restrictions,0,0.8,0
Toronto-Post-Restrictions,0.1,0.8,0.2577172227714903
Toronto-Post-Restrictions,0.2,0.8,0.5154344455429806
Toronto-Post-Restrictions,0.30000000000000004,0.8,0.77315166831447
Toronto-Post-Restrictions,0.4,0.8,1.0308688910859611
Toronto-Post-Restrictions,0.5,0.8,1.2885861138574506
Toronto-Post-Restrictions,0.6000000000000001,0.8,1.54630333662894
Toronto-Post-Restrictions,0.7000000000000001,0.8,1.8040205594004308
Toronto-Post-Restrictions,0.8,0.8,2.0617377821719223
Toronto-Post-Restrictions,0.9,0.8,2.3194550049434133
Toronto-Post-Restrictions,1,0.8,2.577172227714901
Vancouver-Post-Restrictions,0,0.8,0
Vancouver-Post-Restrictions,0.1,0.8,0.2741976008428055
Vancouver-Post-Restrictions,0.2,0.8,0.548395201685611
Vancouver-Post-Restrictions,0.30000000000000004,0.8,0.8225928025284155
Vancouver-Post-Restrictions,0.4,0.8,1.096790403371222
Vancouver-Post-Restrictions,0.5,0.8,1.3709880042140279
Vancouver-Post-Restrictions,0.6000000000000001,0.8,1.645185605056831
Vancouver-Post-Restrictions,0.7000000000000001,0.8,1.9193832058996365
Vancouver-Post-Restrictions,0.8,0.8,2.193580806742444
Vancouver-Post-Restrictions,0.9,0.8,2.4677784075852425
Vancouver-Post-Restrictions,1,0.8,2.7419760084280558
