pruid,reporting_pt_en,reporting_pt_fr,date,num_confirmedcases_delta,num_confirmedcases_cumulative,num_hosp,num_icu,num_deaths,shaded
35,Ontario,Ontario,2022-09-20,1,677,,,,
1,Canada,Canada,2022-09-20,1,1348,,,,
48,Alberta,Alberta,2022-09-21,1,39,,,,
59,British Columbia,Colombie-Britannique,2022-09-21,1,167,,,,
35,Ontario,Ontario,2022-09-21,2,679,,,,
1,Canada,Canada,2022-09-21,4,1352,,,,
59,British Columbia,Colombie-Britannique,2022-09-22,1,168,,,,
24,Quebec,Québec,2022-09-22,1,460,,,,
1,Canada,Canada,2022-09-22,2,1354,,,,
59,British Columbia,Colombie-Britannique,2022-09-23,1,169,,,,
1,Canada,Canada,2022-09-23,1,1355,,,,
59,British Columbia,Colombie-Britannique,2022-09-24,1,170,,,,
35,Ontario,Ontario,2022-09-24,1,680,,,,
1,Canada,Canada,2022-09-24,2,1357,,,,
48,Alberta,Alberta,2022-09-25,1,40,,,,
24,Quebec,Québec,2022-09-25,1,461,,,,
1,Canada,Canada,2022-09-25,2,1359,,,,
59,British Columbia,Colombie-Britannique,2022-09-26,1,171,,,,
35,Ontario,Ontario,2022-09-26,2,682,,,,
47,Saskatchewan,Saskatchewan,2022-09-26,1,4,,,,
1,Canada,Canada,2022-09-26,4,1363,,,,
48,Alberta,Alberta,2022-09-27,1,41,,,,
59,British Columbia,Colombie-Britannique,2022-09-27,2,173,,,,
24,Quebec,Québec,2022-09-27,1,462,,,,
1,Canada,Canada,2022-09-27,4,1367,,,,
35,Ontario,Ontario,2022-09-29,1,683,,,,
47,Saskatchewan,Saskatchewan,2022-09-29,1,5,,,,
1,Canada,Canada,2022-09-29,2,1369,,,,
35,Ontario,Ontario,2022-09-30,2,685,,,,
1,Canada,Canada,2022-09-30,2,1371,,,,
59,British Columbia,Colombie-Britannique,2022-10-01,2,175,,,,
1,Canada,Canada,2022-10-01,2,1373,,,,
24,Quebec,Québec,2022-10-02,1,463,,,,
1,Canada,Canada,2022-10-02,1,1374,,,,
59,British Columbia,Colombie-Britannique,2022-10-04,1,176,,,,
1,Canada,Canada,2022-10-04,1,1375,,,,
35,Ontario,Ontario,2022-10-07,2,687,,,,
47,Saskatchewan,Saskatchewan,2022-10-07,1,6,,,,
1,Canada,Canada,2022-10-07,3,1378,,,,
59,British Columbia,Colombie-Britannique,2022-10-10,2,178,,,,
1,Canada,Canada,2022-10-10,2,1380,,,,
59,British Columbia,Colombie-Britannique,2022-10-11,1,179,,,,
1,Canada,Canada,2022-10-11,1,1381,,,,
35,Ontario,Ontario,2022-10-16,1,688,,,,
1,Canada,Canada,2022-10-16,1,1382,,,,
35,Ontario,Ontario,2022-10-21,1,689,,,,
1,Canada,Canada,2022-10-21,1,1383,,,,
59,British Columbia,Colombie-Britannique,2022-10-24,1,180,,,,
35,Ontario,Ontario,2022-10-24,1,690,,,,
1,Canada,Canada,2022-10-24,2,1385,,,,
59,British Columbia,Colombie-Britannique,2022-10-28,1,181,,,,
1,Canada,Canada,2022-10-28,1,1386,,,,
59,British Columbia,Colombie-Britannique,2022-10-29,1,182,,,,
1,Canada,Canada,2022-10-29,1,1387,,,,
35,Ontario,Ontario,2022-10-30,1,691,,,,
1,Canada,Canada,2022-10-30,1,1388,,,,
59,British Columbia,Colombie-Britannique,2022-10-31,1,183,,,,
1,Canada,Canada,2022-10-31,1,1389,,,,
59,British Columbia,Colombie-Britannique,2022-11-04,1,184,,,,
1,Canada,Canada,2022-11-04,1,1390,,,,
59,British Columbia,Colombie-Britannique,2022-11-06,1,185,,,,
1,Canada,Canada,2022-11-06,1,1391,,,,
59,British Columbia,Colombie-Britannique,2022-11-09,1,186,,,,
1,Canada,Canada,2022-11-09,1,1392,,,,
59,British Columbia,Colombie-Britannique,2022-11-10,1,187,,,,
1,Canada,Canada,2022-11-10,1,1393,,,,
59,British Columbia,Colombie-Britannique,2022-11-11,1,188,,,,
1,Canada,Canada,2022-11-11,1,1394,,,,
48,Alberta,Alberta,2022-11-14,1,42,,,,
1,Canada,Canada,2022-11-14,1,1395,,,,
59,British Columbia,Colombie-Britannique,2022-11-17,1,189,,,,
1,Canada,Canada,2022-11-17,1,1396,,,,
59,British Columbia,Colombie-Britannique,2022-12-03,1,190,,,,
1,Canada,Canada,2022-12-03,1,1397,,,,
35,Ontario,Ontario,2022-12-04,1,692,,,,
1,Canada,Canada,2022-12-04,1,1398,,,,
35,Ontario,Ontario,2022-12-15,1,693,,,,
1,Canada,Canada,2022-12-15,1,1399,,,,
35,Ontario,Ontario,2022-12-17,2,695,,,,
1,Canada,Canada,2022-12-17,2,1401,,,,
35,Ontario,Ontario,2023-01-12,1,696,,,,
1,Canada,Canada,2023-01-12,1,1402,,,,
35,Ontario,Ontario,2023-01-16,1,697,,,,
1,Canada,Canada,2023-01-16,1,1403,,,,
59,British Columbia,Colombie-Britannique,2023-01-21,1,191,,,,
35,Ontario,Ontario,2023-01-21,1,698,,,,
1,Canada,Canada,2023-01-21,2,1405,,,,
35,Ontario,Ontario,2023-01-23,1,699,,,,
1,Canada,Canada,2023-01-23,1,1406,,,,
59,British Columbia,Colombie-Britannique,2023-01-30,1,192,,,,
1,Canada,Canada,2023-01-30,1,1407,,,,
35,Ontario,Ontario,2023-01-31,1,700,,,,
1,Canada,Canada,2023-01-31,1,1408,,,,
59,British Columbia,Colombie-Britannique,2023-02-03,1,193,,,,
1,Canada,Canada,2023-02-03,1,1409,,,,
59,British Columbia,Colombie-Britannique,2023-02-07,1,194,,,,
1,Canada,Canada,2023-02-07,1,1410,,,,
59,British Columbia,Colombie-Britannique,2023-02-10,1,195,,,,
1,Canada,Canada,2023-02-10,1,1411,,,,
35,Ontario,Ontario,2023-02-14,1,701,,,,
1,Canada,Canada,2023-02-14,1,1412,,,,
35,Ontario,Ontario,2023-02-15,2,703,,,,
1,Canada,Canada,2023-02-15,2,1414,,,,
59,British Columbia,Colombie-Britannique,2023-02-21,1,196,,,,
1,Canada,Canada,2023-02-21,1,1415,,,,
48,Alberta,Alberta,2023-02-28,1,43,,,,
1,Canada,Canada,2023-02-28,1,1416,,,,
35,Ontario,Ontario,2023-03-01,1,704,,,,
1,Canada,Canada,2023-03-01,1,1417,,,,
35,Ontario,Ontario,2023-03-09,1,705,,,,
1,Canada,Canada,2023-03-09,1,1418,,,,
35,Ontario,Ontario,2023-03-10,1,706,,,,
1,Canada,Canada,2023-03-10,1,1419,,,,
24,Quebec,Québec,2023-03-16,1,464,,,,
1,Canada,Canada,2023-03-16,1,1420,,,,
24,Quebec,Québec,2023-03-21,1,465,,,,
1,Canada,Canada,2023-03-21,1,1421,,,,
35,Ontario,Ontario,2023-04-13,1,707,,,,
1,Canada,Canada,2023-04-13,1,1422,,,,
35,Ontario,Ontario,2023-04-21,1,708,,,,
1,Canada,Canada,2023-04-21,1,1423,,,,
35,Ontario,Ontario,2023-04-22,1,709,,,,
1,Canada,Canada,2023-04-22,1,1424,,,,
59,British Columbia,Colombie-Britannique,2023-04-27,1,197,,,,
35,Ontario,Ontario,2023-04-27,1,710,,,,
1,Canada,Canada,2023-04-27,2,1426,,,,
35,Ontario,Ontario,2023-05-03,1,711,,,,
1,Canada,Canada,2023-05-03,1,1427,,,,
35,Ontario,Ontario,2023-05-08,1,712,,,,
1,Canada,Canada,2023-05-08,1,1428,45,3,0,
