pruid,reporting_pt_en,reporting_pt_fr,date,num_confirmedcases_delta,num_confirmedcases_cumulative,num_hosp,num_icu,num_deaths,shaded
1,Canada,Canada,2022-06-14,10,238,,,,
48,Alberta,Alberta,2022-06-15,1,5,,,,
35,Ontario,Ontario,2022-06-15,3,66,,,,
24,Quebec,Québec,2022-06-15,3,170,,,,
1,Canada,Canada,2022-06-15,7,245,,,,
35,Ontario,Ontario,2022-06-16,4,70,,,,
24,Quebec,Québec,2022-06-16,9,179,,,,
1,Canada,Canada,2022-06-16,13,258,,,,
35,Ontario,Ontario,2022-06-17,5,75,,,,
24,Quebec,Québec,2022-06-17,4,183,,,,
1,Canada,Canada,2022-06-17,9,267,,,,
35,Ontario,Ontario,2022-06-18,5,80,,,,
24,Quebec,Québec,2022-06-18,5,188,,,,
1,Canada,Canada,2022-06-18,10,277,,,,
59,British Columbia,Colombie-Britannique,2022-06-19,2,6,,,,
35,Ontario,Ontario,2022-06-19,8,88,,,,
24,Quebec,Québec,2022-06-19,4,192,,,,
1,Canada,Canada,2022-06-19,14,291,,,,
59,British Columbia,Colombie-Britannique,2022-06-20,2,8,,,,
35,Ontario,Ontario,2022-06-20,3,91,,,,
24,Quebec,Québec,2022-06-20,7,199,,,,
1,Canada,Canada,2022-06-20,12,303,,,,
59,British Columbia,Colombie-Britannique,2022-06-21,1,9,,,,
35,Ontario,Ontario,2022-06-21,6,97,,,,
24,Quebec,Québec,2022-06-21,7,206,,,,
1,Canada,Canada,2022-06-21,14,317,,,,
59,British Columbia,Colombie-Britannique,2022-06-22,1,10,,,,
35,Ontario,Ontario,2022-06-22,8,105,,,,
24,Quebec,Québec,2022-06-22,6,212,,,,
1,Canada,Canada,2022-06-22,15,332,,,,
59,British Columbia,Colombie-Britannique,2022-06-23,1,11,,,,
35,Ontario,Ontario,2022-06-23,9,114,,,,
24,Quebec,Québec,2022-06-23,6,218,,,,
1,Canada,Canada,2022-06-23,16,348,,,,
48,Alberta,Alberta,2022-06-24,1,6,,,,
59,British Columbia,Colombie-Britannique,2022-06-24,1,12,,,,
35,Ontario,Ontario,2022-06-24,6,120,,,,
24,Quebec,Québec,2022-06-24,4,222,,,,
1,Canada,Canada,2022-06-24,12,360,,,,
48,Alberta,Alberta,2022-06-25,1,7,,,,
59,British Columbia,Colombie-Britannique,2022-06-25,2,14,,,,
35,Ontario,Ontario,2022-06-25,11,131,,,,
24,Quebec,Québec,2022-06-25,5,227,,,,
1,Canada,Canada,2022-06-25,19,379,,,,
48,Alberta,Alberta,2022-06-26,1,8,,,,
59,British Columbia,Colombie-Britannique,2022-06-26,1,15,,,,
35,Ontario,Ontario,2022-06-26,5,136,,,,
24,Quebec,Québec,2022-06-26,6,233,,,,
1,Canada,Canada,2022-06-26,13,392,,,,
59,British Columbia,Colombie-Britannique,2022-06-27,2,17,,,,
35,Ontario,Ontario,2022-06-27,17,153,,,,
24,Quebec,Québec,2022-06-27,10,243,,,,
1,Canada,Canada,2022-06-27,29,421,,,,
59,British Columbia,Colombie-Britannique,2022-06-28,1,18,,,,
35,Ontario,Ontario,2022-06-28,8,161,,,,
24,Quebec,Québec,2022-06-28,6,249,,,,
1,Canada,Canada,2022-06-28,15,436,,,,
59,British Columbia,Colombie-Britannique,2022-06-29,2,20,,,,
35,Ontario,Ontario,2022-06-29,13,174,,,,
24,Quebec,Québec,2022-06-29,2,251,,,,
47,Saskatchewan,Saskatchewan,2022-06-29,1,1,,,,
1,Canada,Canada,2022-06-29,18,454,,,,
48,Alberta,Alberta,2022-06-30,1,9,,,,
35,Ontario,Ontario,2022-06-30,9,183,,,,
24,Quebec,Québec,2022-06-30,5,256,,,,
1,Canada,Canada,2022-06-30,15,469,,,,
59,British Columbia,Colombie-Britannique,2022-07-01,6,26,,,,
35,Ontario,Ontario,2022-07-01,16,199,,,,
24,Quebec,Québec,2022-07-01,5,261,,,,
1,Canada,Canada,2022-07-01,27,496,,,,
59,British Columbia,Colombie-Britannique,2022-07-02,2,28,,,,
35,Ontario,Ontario,2022-07-02,11,210,,,,
